Year,Value
1899,-0.4679
1900,-0.4156
1901,-0.3964
1902,-0.3833
1903,-0.3297
1904,-0.2864
1905,-0.2621
1906,-0.2772
1907,-0.3215
1908,-0.3038
1909,-0.3649
1910,-0.3382
1911,-0.2864
1912,-0.3531
1913,-0.3451
1914,-0.3236
1915,-0.2951
1916,-0.2577
1917,-0.2533
1918,-0.2256
1919,-0.2505
1920,-0.2703
1921,-0.2741
1922,-0.2618
1923,-0.2467
1924,-0.2474
1925,-0.2418
1926,-0.2667
1927,-0.2208
1928,-0.2123
1929,-0.2041
1930,-0.2010
1931,-0.1718
1932,-0.1364
1933,-0.0849
1934,-0.1069
1935,-0.1503
1936,-0.1541
1937,-0.1890
1938,-0.2144
1939,-0.1938
1940,-0.1779
1941,-0.1762
1942,-0.1331
1943,-0.1095
1944,-0.0903
1945,-0.0623
1946,-0.0546
1947,-0.0513
1948,-0.0354
1949,-0.0508
1950,-0.0982
1951,-0.0967
1952,-0.0933
1953,-0.1185
1954,-0.0756
1955,-0.1000
1956,-0.0705
1957,-0.1115
1958,-0.1646
1959,-0.1313
1960,-0.1526
1961,-0.1733
1962,-0.1626
1963,-0.1490
1964,-0.1692
1965,-0.1403
1966,-0.1454
1967,-0.1482
1968,-0.1595
1969,-0.1513
1970,-0.1567
1971,-0.1892
1972,-0.1838
1973,-0.1959
1974,-0.1933
1975,-0.1372
1976,-0.1149
1977,-0.1190
1978,-0.0954
1979,-0.1159
1980,-0.1326
1981,-0.1736
1982,-0.1715
1983,-0.1613
1984,-0.1900
1985,-0.1687
1986,-0.1336
1987,-0.1751
1988,-0.1633
1989,-0.1177
1990,-0.0685
1991,-0.0669
1992,-0.0687
1993,-0.0762
1994,-0.0518
1995,-0.0659
1996,-0.0395
1997,0.0115
1998,0.0377
1999,0.0613
